Ano;Tipo;preco;Bairro;Endereco;A-total;A-const;Asfalto;Condominio;Sala-estar;Sala-jantar;Suite;Quarto;A/e-q;sacada;Garagem;Portao-e;WC-social;Lavabo;closet;coz-plane;Despensa;Deposito;Copa;churrasqueira;jardim;Lazer;Varanda;lavanderia;piscina;Serviço;Aquecedor-solar;Seguranca;Edicula;sauna
2021;0;230;0;Bueno;180;90;1;0;1;0;0;3;2;0;3;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0
2021;0;150;0;Bueno;144;55;1;0;1;0;0;2;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
2021;0;162;0;Cajazeira;162;"116,91";1;0;1;0;1;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2021;0;155;0;Carmen Miranda;120;60;1;0;1;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2021;0;160;0;Charlote;120;60;1;0;1;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;0;165;0;Charlote;120;59;1;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;0;150;0;Charlote;150;60;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2021;0;175;0;Rachel de Queiroz;120;60;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
2021;0;280;0;Autazes;360;;1;0;1;1;1;4;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0
2021;1;240;0;Dean Paul Martins Junior;200;260;1;0;2;0;1;7;0;1;1;0;2;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
2021;1;220;0;Paraopeba;120;62;1;0;1;0;0;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2021;1;240;0;Dean Paul Martins Junior;200;226;0;0;1;1;1;9;0;0;3;0;1;1;0;0;1;0;1;0;1;0;0;1;0;2;0;0;0;0
2021;1;290;0;Dean Paul Martins Junior;200;160;1;0;1;0;1;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2021;1;940;0;Tabajara;360;337;1;0;2;1;2;4;4;0;1;1;2;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0
2021;0;125;0;Laura Vicuna;;45;1;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2021;0;150;0;Pirassununga;;"59,77";1;1;1;0;0;2;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2021;0;135;0;;120;50;1;1;0;1;0;2;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2021;0;130;0;Divisão;131;65;1;1;1;1;0;2;2;0;2;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0
2021;2;180;0;Eng Lutero Lopes;;;1;1;1;1;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;2;120;0;Eng Lutero Lopes;;75;1;1;1;0;0;3;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2021;2;170;0;Eng Lutero Lopes;;75;1;1;1;1;0;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2021;0;745;1;Noroeste;380;250;1;0;2;0;1;2;3;0;4;1;0;0;1;1;1;1;0;1;0;1;1;1;1;2;1;1;1;0
2021;0;600;1;Noroeste;350;251;1;0;1;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0
